,material,time,temperature
8,Aluminum,0,150.0
32,Aluminum,10,135.0
60,Aluminum,20,121.0
24,Aluminum,30,108.0
44,Aluminum,40,96.0
12,Aluminum,60,76.0
84,Aluminum,70,68.0
20,Aluminum,75,85.0
52,Aluminum,80,61.0
40,Aluminum,90,55.0
72,Aluminum,100,50.0
64,Aluminum,110,46.0
1,Aluminum,120,43.0
68,Aluminum,130,40.0
56,Aluminum,140,38.0
36,Aluminum,150,37.0
48,Aluminum,160,36.0
16,Aluminum,170,35.0
76,Aluminum,180,34.0
28,Aluminum,190,33.0
80,Aluminum,200,32.0
11,Copper,0,150.0
27,Copper,10,132.0
3,Copper,20,116.0
71,Copper,30,102.0
75,Copper,40,90.0
31,Copper,45,95.0
15,Copper,50,80.0
59,Copper,60,71.0
83,Copper,70,63.0
19,Copper,85,70.0
87,Copper,90,50.0
39,Copper,100,45.0
63,Copper,120,38.0
35,Copper,130,36.0
47,Copper,140,35.0
67,Copper,150,34.0
43,Copper,160,33.0
51,Copper,170,32.0
23,Copper,180,31.0
55,Copper,190,30.0
79,Copper,200,29.0
10,Plastic,0,150.0
18,Plastic,10,145.0
78,Plastic,20,141.0
82,Plastic,30,137.0
22,Plastic,35,140.0
86,Plastic,40,133.0
46,Plastic,50,129.0
58,Plastic,60,125.0
2,Plastic,75,130.0
62,Plastic,80,118.0
38,Plastic,90,115.0
66,Plastic,100,112.0
70,Plastic,110,109.0
26,Plastic,120,106.0
54,Plastic,130,103.0
14,Plastic,140,101.0
6,Plastic,160,97.0
50,Plastic,170,95.0
30,Plastic,180,98.0
74,Plastic,190,93.0
42,Plastic,200,92.0
4,Steel,0,150.0
49,Steel,10,138.0
21,Steel,20,127.0
45,Steel,30,117.0
0,Steel,40,108.0
69,Steel,50,100.0
25,Steel,55,110.0
81,Steel,60,93.0
29,Steel,70,87.0
85,Steel,80,82.0
53,Steel,90,78.0
13,Steel,95,85.0
61,Steel,100,75.0
33,Steel,110,72.0
41,Steel,140,65.0
77,Steel,150,63.0
17,Steel,160,62.0
65,Steel,170,61.0
57,Steel,180,60.0
73,Steel,190,59.0
37,Steel,200,58.0
