,temperature
8,False
32,False
60,False
24,False
44,False
12,False
84,False
20,True
52,False
40,False
72,False
64,False
1,False
68,False
56,False
36,False
48,False
16,False
76,False
28,False
80,False
11,False
27,False
3,False
71,False
75,False
31,True
15,False
59,False
83,False
19,True
87,False
39,False
63,False
35,False
47,False
67,False
43,False
51,False
23,False
55,False
79,False
10,False
18,False
78,False
82,False
22,True
86,False
46,False
58,False
2,True
62,False
38,False
66,False
70,False
26,False
54,False
14,False
6,False
50,False
30,True
74,False
42,False
4,False
49,False
21,False
45,False
0,False
69,False
25,True
81,False
29,False
85,False
53,False
13,True
61,False
33,False
41,False
77,False
17,False
65,False
57,False
73,False
37,False
