material,time,temperature
Steel,40,108
Aluminum,120,43
Plastic,75,130
Copper,20,116
Steel,0,150
Aluminum,25,error
Plastic,160,97
Copper,115,error
Aluminum,0,150
Steel,125,NaN
Plastic,0,150
Copper,0,150
Aluminum,60,76
Steel,95,85
Plastic,140,101
Copper,50,80
Aluminum,170,35
Steel,160,62
Plastic,10,145
Copper,85,70
Aluminum,75,85
Steel,20,127
Plastic,35,140
Copper,180,31
Aluminum,30,108
Steel,55,110
Plastic,120,106
Copper,10,132
Aluminum,190,33
Steel,70,87
Plastic,180,98
Copper,45,95
Aluminum,10,135
Steel,110,72
Plastic,155,
Copper,130,36
Aluminum,150,37
Steel,200,58
Plastic,90,115
Copper,100,45
Aluminum,90,55
Steel,140,65
Plastic,200,92
Copper,160,33
Aluminum,40,96
Steel,30,117
Plastic,50,129
Copper,140,35
Aluminum,160,36
Steel,10,138
Plastic,170,95
Copper,170,32
Aluminum,80,61
Steel,90,78
Plastic,130,103
Copper,190,30
Aluminum,140,38
Steel,180,60
Plastic,60,125
Copper,60,71
Aluminum,20,121
Steel,100,75
Plastic,80,118
Copper,120,38
Aluminum,110,46
Steel,170,61
Plastic,100,112
Copper,150,34
Aluminum,130,40
Steel,50,100
Plastic,110,109
Copper,30,102
Aluminum,100,50
Steel,190,59
Plastic,190,93
Copper,40,90
Aluminum,180,34
Steel,150,63
Plastic,20,141
Copper,200,29
Aluminum,200,32
Steel,60,93
Plastic,30,137
Copper,70,63
Aluminum,70,68
Steel,80,82
Plastic,40,133
Copper,90,50
